MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
1,Small,778,0.004995643,14,58,561,25
2,Small,1735,0.001972147,47,58,613,52
3,Small,2208,0.001072501,60,57,333,61
4,Small,1549,0.001135588,37,63,497,47
5,Small,320,3.30028E-4,4,59,277,8
6,Small,293,1.86712E-4,5,64,241,10
7,Small,1039,5.21845E-4,23,63,425,34
8,Small,477,2.97208E-4,5,57,417,10
9,Small,1847,5.03977E-4,39,56,285,45
10,Small,745,4.25208E-4,13,57,373,17
11,Small,382,3.26746E-4,6,55,301,7
12,Small,1407,6.41458E-4,31,55,677,42
13,Small,923,4.18279E-4,23,60,345,27
14,Small,1431,5.98427E-4,39,63,661,51
15,Small,1585,7.76022E-4,37,59,325,44
16,Small,945,6.07909E-4,17,56,641,31
17,Small,902,2.77151E-4,18,67,249,23
18,Small,652,3.6139E-4,12,60,521,27
19,Small,2150,4.50734E-4,58,66,325,64
20,Small,1919,6.1192E-4,51,63,453,60
21,Small,1140,4.5584E-4,28,64,557,37
22,Small,785,3.87281E-4,9,66,553,27
23,Small,2195,7.52683E-4,55,60,293,59
24,Small,873,2.88091E-4,21,65,397,31
25,Small,2100,8.09208E-4,52,56,349,56
26,Small,1105,3.65401E-4,25,68,521,33
27,Small,447,1.57903E-4,7,71,377,18
28,Small,1431,3.72331E-4,31,52,625,38
29,Small,1314,4.82461E-4,30,61,653,45
30,Small,679,2.60012E-4,19,66,469,30
31,Small,810,2.68763E-4,18,57,637,30
32,Small,716,1.88171E-4,16,54,369,21
33,Small,802,3.45709E-4,18,66,501,31
34,Small,2160,4.81003E-4,52,55,297,56
35,Small,2103,4.19737E-4,55,64,349,63
36,Small,2206,3.46074E-4,66,71,269,69
37,Small,794,2.98302E-4,14,57,389,20
38,Small,1607,4.31772E-4,39,63,361,45
39,Small,796,3.48626E-4,20,68,369,30
40,Small,599,1.79418E-4,15,57,173,17
41,Small,1723,4.14268E-4,47,67,549,57
42,Small,1005,2.622E-4,25,63,429,32
43,Small,1075,2.84444E-4,35,71,565,43
44,Small,956,4.54746E-4,24,63,453,33
45,Small,1891,3.74153E-4,51,61,493,60
46,Small,772,2.43601E-4,16,62,205,19
47,Small,1862,3.56285E-4,42,58,481,51
48,Small,526,1.90359E-4,6,60,433,15
49,Small,1941,3.28934E-4,53,61,405,55
