MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
1,Small,611,0.00148385,7,58,561,16
2,Small,632,6.88136E-4,4,58,613,18
3,Small,372,3.03043E-4,4,57,333,9
4,Small,1044,0.0012067,20,63,497,14
5,Small,276,2.16615E-4,0,59,277,9
6,Small,240,1.53527E-4,0,64,241,10
7,Small,549,5.01059E-4,9,63,425,14
8,Small,467,2.63293E-4,3,57,417,8
9,Small,289,2.46154E-4,1,56,285,9
10,Small,382,2.37037E-4,2,57,373,9
11,Small,310,1.85618E-4,2,55,301,4
12,Small,760,4.69698E-4,8,55,677,18
13,Small,373,3.35133E-4,5,60,345,8
14,Small,751,6.16295E-4,7,63,661,24
15,Small,329,1.85254E-4,1,59,325,11
16,Small,1210,4.6131E-4,22,56,641,21
17,Small,362,1.43681E-4,6,67,249,7
18,Small,620,2.78609E-4,8,60,521,20
19,Small,402,1.85618E-4,6,66,325,11
20,Small,480,2.74962E-4,4,63,453,16
21,Small,593,3.67954E-4,5,64,557,17
22,Small,598,3.6686E-4,6,66,553,21
23,Small,342,1.54985E-4,2,60,293,8
24,Small,539,2.24638E-4,7,65,397,12
25,Small,458,2.1151E-4,6,56,349,9
26,Small,738,2.73868E-4,14,68,521,14
27,Small,403,1.42222E-4,3,71,377,15
28,Small,1085,2.88455E-4,21,52,625,13
29,Small,1140,2.96478E-4,24,61,653,19
30,Small,524,1.81242E-4,8,66,469,17
31,Small,696,2.49435E-4,8,57,637,21
32,Small,404,1.43316E-4,4,54,369,9
33,Small,603,2.04581E-4,11,66,501,15
34,Small,305,1.11225E-4,1,55,297,8
35,Small,361,1.32375E-4,1,64,349,14
36,Small,268,1.02108E-4,0,71,269,12
37,Small,647,1.73219E-4,15,57,389,7
38,Small,392,1.36752E-4,4,63,361,9
39,Small,480,1.72125E-4,8,68,369,13
40,Small,177,6.7829E-5,1,57,173,5
41,Small,701,2.26826E-4,9,67,549,16
42,Small,450,1.6082E-4,2,63,429,16
43,Small,733,2.26461E-4,13,71,565,20
44,Small,532,1.75042E-4,8,63,453,14
45,Small,691,2.01299E-4,11,61,493,15
46,Small,222,7.8404E-5,2,62,205,5
47,Small,582,1.87077E-4,10,58,481,12
48,Small,432,1.55715E-4,0,60,433,13
49,Small,419,1.49151E-4,3,61,405,9
50,Small,550,1.85618E-4,6,70,485,18
51,Medium,1503,5.31327E-4,11,241,1385,34
52,Medium,1639,5.07988E-4,27,258,1245,34
53,Medium,1599,5.058E-4,19,252,1289,37
54,Medium,2151,6.91418E-4,27,238,1809,43
55,Medium,1161,4.10985E-4,13,227,1045,20
56,Medium,1193,4.0588E-4,13,239,1045,26
57,Medium,1561,6.16661E-4,17,242,1373,34
58,Medium,1242,4.43806E-4,6,250,1201,37
59,Medium,2541,7.49765E-4,45,245,1833,45
60,Medium,2835,8.07749E-4,43,256,2013,52
61,Medium,1610,5.20752E-4,22,249,1301,29
62,Medium,3825,9.90814E-4,81,242,2189,50
63,Medium,1019,3.80718E-4,11,237,833,21
64,Medium,2309,5.75817E-4,53,268,1249,26
65,Medium,3350,8.03737E-4,70,242,1749,29
66,Medium,1816,6.61515E-4,32,263,1341,35
67,Medium,3920,0.001026552,68,238,2517,64
68,Medium,1365,5.58678E-4,17,231,1189,24
69,Medium,2345,6.20307E-4,49,245,1409,26
70,Medium,1530,4.51099E-4,22,240,1153,26
71,Medium,2467,7.89879E-4,39,240,1905,45
72,Medium,3730,0.00121691,78,263,2109,57
73,Medium,1386,4.19373E-4,18,237,1085,24
74,Medium,1244,4.2229E-4,12,251,1081,26
75,Medium,1995,5.48831E-4,35,239,1369,31
76,Medium,1727,4.80637E-4,35,265,1189,30
77,Medium,1290,4.68239E-4,14,260,1173,37
78,Medium,1909,7.43931E-4,29,236,1433,34
79,Medium,1272,4.09526E-4,16,240,1081,32
80,Medium,1699,5.43362E-4,23,233,1257,20
81,Medium,1461,5.36798E-4,13,246,1229,36
82,Medium,2492,7.85139E-4,36,238,1817,39
83,Medium,1832,5.59772E-4,28,266,1349,28
84,Medium,3804,0.001018529,68,250,2073,49
85,Medium,2102,6.69173E-4,30,249,1765,42
86,Medium,2192,7.20592E-4,28,253,1801,46
87,Medium,2479,7.60341E-4,39,249,1985,48
88,Medium,2371,7.26427E-4,43,249,1721,40
89,Medium,2902,7.66905E-4,54,242,1949,49
90,Medium,601,2.07499E-4,1,242,597,10
91,Medium,4110,0.001138507,66,243,2281,59
92,Medium,934,3.39874E-4,6,244,873,21
93,Medium,1548,6.2213E-4,12,249,1405,42
94,Medium,1818,5.52843E-4,30,252,1501,37
95,Medium,1489,7.52683E-4,21,269,1197,29
96,Medium,2372,7.61435E-4,40,238,1833,45
97,Medium,3552,0.001090004,60,237,2397,57
98,Medium,3297,8.48956E-4,61,229,2077,46
99,Medium,2922,9.3976E-4,46,237,2053,42
100,Medium,2281,9.62369E-4,37,237,1765,40
101,Large,5387,0.002711701,91,978,4049,81
102,Large,7469,0.002923576,137,997,5145,108
103,Large,9449,0.002343017,189,972,4985,93
104,Large,8190,0.002272636,158,985,5469,101
105,Large,14693,0.005610114,297,956,6801,133
106,Large,5892,0.001942608,88,972,4277,82
107,Large,3466,9.50335E-4,62,1003,2301,42
108,Large,4727,0.001494062,71,963,3613,65
109,Large,7779,0.002433457,123,963,5149,109
110,Large,19740,0.004299483,460,974,7017,139
111,Large,3333,0.001008318,49,1003,2561,43
112,Large,14224,0.003473501,308,989,7533,158
113,Large,9032,0.002573855,172,954,5785,100
114,Large,10253,0.002956396,181,957,6473,121
115,Large,7343,0.002206266,131,1009,4417,87
116,Large,8098,0.00258042,150,978,5821,98
117,Large,8048,0.002235439,156,961,5169,107
118,Large,4513,0.001434619,69,1007,3581,83
119,Large,2957,0.001019988,33,1009,2545,55
120,Large,7013,0.002468465,113,1005,5233,115
121,Large,2643,8.45309E-4,39,981,2017,36
122,Large,4479,0.001420398,59,970,3721,56
123,Large,6971,0.001848158,147,982,3985,93
124,Large,9086,0.002498003,170,959,5809,99
125,Large,3450,0.001042598,58,1003,2509,52
126,Large,4577,0.001553138,65,948,3741,68
127,Large,9398,0.002860852,162,948,6817,146
128,Large,9414,0.002573126,182,1004,5717,131
129,Large,13022,0.003881569,266,995,8221,187
130,Large,6831,0.002039611,115,1000,5225,103
131,Large,4599,0.001383566,71,986,3401,64
132,Large,4737,0.001496249,77,960,3693,59
133,Large,6681,0.002565103,109,964,4325,93
134,Large,2875,0.001088546,27,984,2561,54
135,Large,8696,0.002531188,168,988,5933,120
136,Large,5269,0.001344911,117,1000,2933,55
137,Large,3491,0.00110605,47,963,2777,48
138,Large,6106,0.001808044,106,957,4317,94
139,Large,9989,0.003065069,177,1002,7641,181
140,Large,8939,0.002326972,179,973,5189,85
141,Large,6677,0.002146095,113,997,4821,95
142,Large,4995,0.003248863,87,970,3877,86
143,Large,4472,0.0038637,72,977,3465,51
144,Large,7361,0.002193502,125,946,5013,82
145,Large,3473,0.001042232,53,970,2529,51
146,Large,18065,0.004953705,389,979,6621,140
147,Large,8138,0.002318585,146,988,5605,115
148,Large,7167,0.002193867,135,971,4917,105
149,Large,11775,0.003267097,231,1016,7529,183
150,Large,6018,0.003335655,102,981,4797,92
