MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
1,Small,1434,0.002309833,34,58,561,13
2,Small,1338,0.001182267,30,58,613,12
3,Small,1658,5.86392E-4,38,57,333,8
4,Small,1207,4.17914E-4,31,63,497,8
5,Small,672,2.29744E-4,14,59,277,6
6,Small,240,1.35293E-4,0,64,241,10
7,Small,1436,5.34609E-4,38,63,425,8
8,Small,1200,4.10986E-4,30,57,417,5
9,Small,1845,4.66051E-4,39,56,285,6
10,Small,515,2.15157E-4,9,57,373,4
11,Small,387,1.85983E-4,7,55,301,1
12,Small,1446,4.83191E-4,32,55,677,13
13,Small,938,2.72775E-4,24,60,345,4
14,Small,1163,4.85378E-4,29,63,661,12
15,Small,883,2.63293E-4,19,59,325,7
16,Small,1167,4.25208E-4,23,56,641,13
17,Small,1637,3.17629E-4,47,67,249,5
18,Small,1076,3.41333E-4,26,60,521,12
19,Small,898,2.47247E-4,24,66,325,7
20,Small,1292,3.46439E-4,32,63,453,12
21,Small,1029,3.44615E-4,21,64,557,13
22,Small,1570,6.5568E-4,42,66,553,14
23,Small,909,3.00854E-4,23,60,293,2
24,Small,916,3.3878E-4,24,65,397,8
25,Small,803,2.41048E-4,21,56,349,4
26,Small,1286,2.8955E-4,30,68,521,12
27,Small,528,1.52068E-4,14,71,377,8
28,Small,1381,2.99761E-4,27,52,625,12
29,Small,1332,3.11795E-4,32,61,653,15
30,Small,707,1.92912E-4,19,66,469,12
31,Small,1071,2.73505E-4,25,57,637,15
32,Small,835,2.54176E-4,23,54,369,6
33,Small,1213,2.80433E-4,33,66,501,12
34,Small,939,1.71031E-4,23,55,297,4
35,Small,2009,2.96479E-4,51,64,349,10
36,Small,505,2.10416E-4,15,71,269,3
37,Small,874,1.86712E-4,20,57,389,3
38,Small,958,1.89264E-4,26,63,361,5
39,Small,841,1.89994E-4,25,68,369,6
40,Small,1960,2.41413E-4,44,57,173,3
41,Small,1363,2.7788E-4,37,67,549,10
42,Small,969,2.1078E-4,23,63,429,9
43,Small,1623,3.7233E-4,45,71,565,16
44,Small,1068,2.25367E-4,30,63,453,6
45,Small,1211,2.46883E-4,29,61,493,11
46,Small,782,1.32012E-4,18,62,205,2
47,Small,1460,2.67669E-4,36,58,481,11
48,Small,1681,3.12888E-4,39,60,433,10
49,Small,943,2.23544E-4,25,61,405,4
50,Small,1564,3.16171E-4,42,70,485,12
51,Medium,4226,8.35099E-4,100,241,1385,16
52,Medium,1691,5.10176E-4,33,258,1245,26
53,Medium,3673,7.31532E-4,87,252,1289,25
54,Medium,2450,7.16946E-4,44,238,1809,32
55,Medium,1214,4.02233E-4,14,227,1045,19
56,Medium,1292,4.13174E-4,22,239,1045,19
57,Medium,4548,9.21891E-4,108,242,1373,25
58,Medium,3495,7.53777E-4,87,250,1201,19
59,Medium,6859,0.00128401,177,245,1833,36
60,Medium,4638,0.001016705,110,256,2013,40
61,Medium,5803,0.001075782,151,249,1301,22
62,Medium,4630,0.001084535,116,242,2189,36
63,Medium,6548,0.00107943,148,237,833,14
64,Medium,4420,7.94985E-4,120,268,1249,22
65,Medium,4181,8.82871E-4,99,242,1749,24
66,Medium,2126,5.95509E-4,48,263,1341,31
67,Medium,5630,0.004940941,136,238,2517,46
68,Medium,5462,8.98552E-4,120,231,1189,17
69,Medium,6899,0.001163668,165,245,1409,26
70,Medium,2768,5.88946E-4,72,240,1153,17
71,Medium,5696,0.001195395,130,240,1905,33
72,Medium,5763,0.001445924,149,263,2109,46
73,Medium,7705,0.001118814,181,237,1085,19
74,Medium,4561,0.001036033,119,251,1081,18
75,Medium,2737,6.04262E-4,69,239,1369,20
76,Medium,6454,0.001032751,154,265,1189,33
77,Medium,2370,6.38541E-4,62,260,1173,23
78,Medium,4267,0.001051349,97,236,1433,26
79,Medium,2839,5.69253E-4,75,240,1081,12
80,Medium,5680,0.001740579,130,233,1257,15
81,Medium,6371,9.60546E-4,157,246,1229,24
82,Medium,3249,7.75657E-4,73,238,1817,28
83,Medium,2161,5.76181E-4,45,266,1349,23
84,Medium,4581,9.85709E-4,115,250,2073,34
85,Medium,4330,9.27361E-4,106,249,1765,28
86,Medium,4533,0.001058643,115,253,1801,21
87,Medium,5704,0.001332511,148,249,1985,33
88,Medium,4118,8.78131E-4,106,249,1721,26
89,Medium,5519,0.001001025,127,242,1949,38
90,Medium,627,2.0604E-4,5,242,597,6
91,Medium,4434,0.001050985,106,243,2281,46
92,Medium,6039,8.71566E-4,147,244,873,20
93,Medium,3757,7.38096E-4,93,249,1405,24
94,Medium,3549,7.93891E-4,89,252,1501,31
95,Medium,5302,0.001005765,142,269,1197,19
96,Medium,5352,0.001049162,124,238,1833,36
97,Medium,5795,0.001169503,133,237,2397,52
98,Medium,5968,0.001096934,130,229,2077,38
99,Medium,5851,0.001641389,139,237,2053,28
100,Medium,3108,7.49765E-4,74,237,1765,28
101,Large,18282,0.003131439,448,978,4049,66
102,Large,9033,0.002598653,201,997,5145,89
103,Large,23381,0.003846196,553,972,4985,83
104,Large,16544,0.003210572,390,985,5469,98
105,Large,15774,0.004621489,372,956,6801,106
106,Large,24831,0.004415814,609,972,4277,63
107,Large,17720,0.002405377,428,1003,2301,36
108,Large,12736,0.004261193,316,963,3613,46
109,Large,26137,0.004969386,621,963,5149,83
110,Large,25562,0.004956257,624,974,7017,122
111,Large,15360,0.002220488,392,1003,2561,38
112,Large,18741,0.0039246,457,989,7533,133
113,Large,21951,0.005991561,515,954,5785,98
114,Large,21065,0.004650662,509,957,6473,106
115,Large,29383,0.005171049,727,1009,4417,76
116,Large,12830,0.003225159,290,978,5821,90
117,Large,26641,0.004131005,639,961,5169,92
118,Large,10920,0.002134061,264,1007,3581,62
119,Large,21217,0.003554093,529,1009,2545,44
120,Large,23503,0.004423107,589,1005,5233,92
121,Large,12589,0.002132238,317,981,2017,23
122,Large,21358,0.003286059,518,970,3721,37
123,Large,28822,0.003967267,694,982,3985,76
124,Large,25476,0.00419774,606,959,5809,82
125,Large,5859,0.001308079,149,1003,2509,31
126,Large,28262,0.004055517,668,948,3741,53
127,Large,19166,0.003966173,466,948,6817,104
128,Large,18367,0.003484076,459,1004,5717,112
129,Large,20612,0.004985066,500,995,8221,150
130,Large,17719,0.00318614,435,1000,5225,73
131,Large,9993,0.002025024,235,986,3401,48
132,Large,14079,0.002442938,329,960,3693,45
133,Large,7005,0.001970323,143,964,4325,69
134,Large,33912,0.006429533,816,984,2561,42
135,Large,17098,0.005594798,440,988,5933,94
136,Large,8550,0.001693537,224,1000,2933,38
137,Large,32706,0.004368406,786,963,2777,44
138,Large,19595,0.003259804,461,957,4317,71
139,Large,23097,0.004488383,553,1002,7641,158
140,Large,13024,0.002740511,320,973,5189,64
141,Large,14083,0.003220054,363,997,4821,56
142,Large,7417,0.002014813,189,970,3877,54
143,Large,21433,0.003774356,535,977,3465,45
144,Large,24017,0.006066319,571,946,5013,70
145,Large,18350,0.005193659,436,970,2529,37
146,Large,20542,0.004283438,510,979,6621,112
147,Large,11136,0.002589901,252,988,5605,89
148,Large,25864,0.004757146,620,971,4917,103
149,Large,21309,0.004373512,523,1016,7529,150
150,Large,14717,0.003002345,357,981,4797,84
151,Crazy,1557622,0.220308221,37832,52475,74645,1142
152,Crazy,1225848,0.273737049,29942,52815,208609,3319
153,Crazy,775484,0.144349224,19090,52617,138865,2122
154,Crazy,1019440,0.19246624,24510,52634,199085,3166
155,Crazy,1104907,0.184873404,26955,52471,173493,2679
156,Crazy,1002416,0.150938119,24526,52640,122477,1816
157,Crazy,745153,0.153175382,18035,52627,198181,3024
158,Crazy,870867,0.153076555,21131,52579,179981,2740
159,Crazy,1116063,0.18365467,27143,52602,193369,3050
160,Crazy,730808,0.367183893,17624,52281,95517,1349
161,Crazy,727598,0.119055937,17656,52505,93037,1371
162,Crazy,605198,0.118557065,14852,52675,151149,2247
163,Crazy,1254897,0.197816344,30435,52514,127753,2011
164,Crazy,901143,0.186473221,22031,52913,246737,3789
165,Crazy,1620999,0.251812602,39323,52430,110793,1660
166,Crazy,686285,0.314351668,16665,52327,136109,2013
167,Crazy,778061,0.160589893,19019,52642,151713,2293
168,Crazy,1169331,0.200047407,28387,52680,191957,3043
169,Crazy,1278571,0.234265679,31199,52518,260397,4053
170,Crazy,1197489,0.221046681,29243,52486,248085,3707
171,Crazy,715673,0.113989549,17565,52677,94789,1395
172,Crazy,590744,0.107381326,14520,52757,108877,1563
173,Crazy,1557198,0.249683647,37974,52711,116753,1818
174,Crazy,1046630,0.1617284,25666,52773,103853,1560
175,Crazy,1061385,0.229501602,26039,52832,175505,2657
176,Crazy,1460718,0.263943053,35486,52500,59569,833
177,Crazy,1108846,0.238254825,27208,52731,250149,3801
178,Crazy,1532016,0.248925129,37304,52568,126925,1930
179,Crazy,799794,0.149770074,19536,52795,172357,2654
180,Crazy,955498,0.152088294,23316,52430,129401,1887
181,Crazy,1068274,0.196245701,26026,52654,230913,3484
