MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
1,Small,1110,0.002675964,24,58,561,11
2,Small,1193,0.001140694,31,58,613,9
3,Small,902,5.92227E-4,24,57,333,3
4,Small,1356,4.75533E-4,34,63,497,10
5,Small,1118,3.16536E-4,28,59,277,1
6,Small,378,2.33755E-4,12,64,241,0
7,Small,994,3.97493E-4,24,63,425,10
8,Small,1355,5.39715E-4,29,57,417,5
9,Small,710,2.17345E-4,20,56,285,3
10,Small,1068,3.00854E-4,26,57,373,4
11,Small,308,1.77231E-4,2,55,301,4
12,Small,1062,4.82097E-4,24,55,677,10
13,Small,400,1.91088E-4,6,60,345,7
14,Small,1406,4.6678E-4,36,63,661,15
15,Small,1598,4.23749E-4,40,59,325,5
16,Small,959,4.49641E-4,21,56,641,11
17,Small,932,2.27555E-4,22,67,249,3
18,Small,1465,4.62769E-4,35,60,521,13
19,Small,1662,3.60661E-4,44,66,325,6
20,Small,1228,3.46439E-4,30,63,453,10
21,Small,1030,3.47898E-4,28,64,557,9
22,Small,1067,3.75247E-4,29,66,553,9
23,Small,1716,3.52638E-4,42,60,293,4
24,Small,606,2.2792E-4,12,65,397,9
25,Small,1742,4.32136E-4,40,56,349,4
26,Small,1248,2.95385E-4,38,68,521,7
27,Small,1950,2.91738E-4,56,71,377,9
28,Small,931,2.56365E-4,17,52,625,8
29,Small,1229,4.29948E-4,31,61,653,13
30,Small,1859,3.18724E-4,49,66,469,13
31,Small,850,3.12888E-4,20,57,637,11
32,Small,1694,2.91008E-4,32,54,369,7
33,Small,1363,2.74598E-4,37,66,501,11
34,Small,1564,2.53447E-4,34,55,297,5
35,Small,549,1.91088E-4,15,64,349,4
36,Small,2061,2.86268E-4,59,71,269,8
37,Small,707,1.73584E-4,17,57,389,7
38,Small,1593,2.55635E-4,39,63,361,7
39,Small,1727,3.12524E-4,45,68,369,10
40,Small,598,1.07214E-4,16,57,173,2
41,Small,1078,2.53082E-4,28,67,549,8
42,Small,1591,2.84444E-4,45,63,429,9
43,Small,927,2.7715E-4,25,71,565,14
44,Small,1503,2.79339E-4,37,63,453,11
45,Small,721,2.02028E-4,15,61,493,7
46,Small,225,7.8405E-5,3,62,205,4
47,Small,1092,2.40684E-4,22,58,481,8
48,Small,839,2.03851E-4,21,60,433,3
49,Small,1626,3.21276E-4,40,61,405,6
50,Small,1004,5.15282E-4,30,70,485,9
51,Medium,6263,0.001179714,153,241,1385,24
52,Medium,2407,6.33436E-4,65,258,1245,22
53,Medium,6668,0.001016341,174,252,1289,22
54,Medium,5176,9.99566E-4,126,238,1809,30
55,Medium,2550,5.85299E-4,56,227,1045,10
56,Medium,3667,7.25698E-4,89,239,1045,14
57,Medium,5662,9.51429E-4,140,242,1373,20
58,Medium,6577,0.001333971,163,250,1201,24
59,Medium,4654,0.001041868,120,245,1833,27
60,Medium,5774,0.001112614,156,256,2013,36
61,Medium,4594,8.69378E-4,116,249,1301,18
62,Medium,5650,0.00157903,136,242,2189,44
63,Medium,3702,7.51589E-4,96,237,833,10
64,Medium,5654,9.33925E-4,148,268,1249,19
65,Medium,6326,0.0011396,160,242,1749,22
66,Medium,2772,6.96523E-4,74,263,1341,20
67,Medium,4646,0.001391953,116,238,2517,46
68,Medium,4289,7.84774E-4,99,231,1189,17
69,Medium,2538,6.73914E-4,60,245,1409,19
70,Medium,7455,0.00117242,173,240,1153,23
71,Medium,4590,0.00103968,128,240,1905,25
72,Medium,4589,0.001755896,127,263,2109,32
73,Medium,2518,5.29868E-4,60,237,1085,13
74,Medium,5670,9.15327E-4,136,251,1081,16
75,Medium,7356,0.001048432,174,239,1369,26
76,Medium,3313,8.36923E-4,95,265,1189,14
77,Medium,7759,0.001174244,201,260,1173,25
78,Medium,5962,0.001213993,144,236,1433,24
79,Medium,1314,5.60136E-4,20,240,1081,28
80,Medium,4560,7.97173E-4,114,233,1257,16
81,Medium,3899,7.8988E-4,93,246,1229,18
82,Medium,7315,0.004522662,185,238,1817,26
83,Medium,5183,9.2335E-4,137,266,1349,20
84,Medium,5502,0.001195395,140,250,2073,36
85,Medium,5935,0.001146894,153,249,1765,29
86,Medium,5720,0.001226392,146,253,1801,35
87,Medium,4570,0.001343452,112,249,1985,37
88,Medium,6246,0.001102768,156,249,1721,28
89,Medium,4295,0.003683917,105,242,1949,32
90,Medium,3954,5.47373E-4,92,242,597,4
91,Medium,3943,0.001295679,89,243,2281,37
92,Medium,4212,7.79669E-4,102,244,873,4
93,Medium,1887,5.84934E-4,33,249,1405,27
94,Medium,6704,0.001744226,170,252,1501,32
95,Medium,5073,8.95999E-4,135,269,1197,19
96,Medium,4924,0.001061196,122,238,1833,30
97,Medium,4289,0.001018529,99,237,2397,41
98,Medium,3467,9.99931E-4,77,229,2077,34
99,Medium,4551,0.001336888,109,237,2053,34
100,Medium,6299,0.001132671,153,237,1765,27
101,Large,23058,0.007745269,564,978,4049,55
102,Large,18860,0.004074845,474,997,5145,77
103,Large,17521,0.003216043,431,972,4985,67
104,Large,22670,0.00657686,564,985,5469,84
105,Large,25569,0.008235024,623,956,6801,99
106,Large,16367,0.003435575,401,972,4277,48
107,Large,23327,0.003164988,593,1003,2301,25
108,Large,27988,0.00486436,650,963,3613,54
109,Large,12628,0.003236099,310,963,5149,77
110,Large,15297,0.003807906,367,974,7017,106
111,Large,25537,0.003478242,627,1003,2561,33
112,Large,22735,0.007306933,565,989,7533,125
113,Large,17001,0.004006287,387,954,5785,87
114,Large,20817,0.004852691,503,957,6473,86
115,Large,10817,0.002589171,271,1009,4417,52
116,Large,23916,0.004433318,590,978,5821,88
117,Large,14051,0.002873251,349,961,5169,74
118,Large,30135,0.005881431,765,1007,3581,56
119,Large,19768,0.003279131,498,1009,2545,32
120,Large,16304,0.003689751,402,1005,5233,80
121,Large,28335,0.003818116,673,981,2017,33
122,Large,19237,0.002946915,455,970,3721,54
123,Large,10321,0.002120203,247,982,3985,66
124,Large,14739,0.005942331,349,959,5809,79
125,Large,35192,0.006356963,882,1003,2509,48
126,Large,10548,0.002618345,242,948,3741,49
127,Large,22487,0.006496632,533,948,6817,121
128,Large,20629,0.004475984,511,1004,5717,101
129,Large,19874,0.006594,500,995,8221,162
130,Large,22786,0.003886309,576,1000,5225,92
131,Large,31052,0.006218752,774,986,3401,48
132,Large,27141,0.007045099,671,960,3693,47
133,Large,14083,0.003082572,345,964,4325,59
134,Large,7178,0.001692079,192,984,2561,29
135,Large,11891,0.003376863,273,988,5933,107
136,Large,32486,0.007886033,796,1000,2933,46
